"totaleObjectenMetCatLabel"
"0"
"0"
"96"
"3"
"0"
"2"
"12"
"367"
"300"
"41"
"0"
"114"
"2080"
"6"
"8"
"0"
"0"
"38"
"0"
"206"
"5"
"21"
"67"
"0"
"63"
"70"
"34"
"15"
"10"
"1713"
"0"
"0"
"0"
"13"
"3"
"10"
"1"
"0"
"0"
"0"
"0"
"0"
"26"
"0"
"4"
"0"
"61"
"1"
"1"
"0"
"18"
"553"
"0"
"27"
"208"
"1"
"2"
"11"
"104"
"11"
"8"
"1"
"2"
"8"
"46"
"3"
"53"
"1"
"1"
"0"
"18"
"19"
"0"
"1554"
"64"
"34"
"59"
"245"
"44"
"1762"
"9"
"36"
"0"
"1740"
"295"
"15"
"26"
"0"
"0"
"0"
"0"
"0"
"0"
"19"
"645"
"0"
"19"
"2"
"0"
"6"
"10"
"4"
"0"
"2"
"3"
"0"
"43"
"12001"
"0"
"616"
"15"
"16"
"1"
"9"
"2"
"1"
"1"
"2"
"6"
"4"
"2"
"2"
"244"
"0"
"0"
"0"
"9"
"1"
"0"
"0"
"71"
"47"
"43"
"10"
"1"
"1"
"8"
"237"
"9"
"148"
"3364"
"2"
"0"
"11"
"51"
"0"
"2"
"6"
"13"
"133"
"7"
"13"
"7"
"308"
"23"
"148"
"6"
"10"
"2"
"5"
"0"
"11"
"28"
"3"
"4"
"4"
"63"
"2"
"0"
"57"
"124"
"9"
"5"
"149"
"26"
"2"
"1"
"0"
"0"
"2072"
"1"
"2"
"52"
"652"
